ID;DOCID;BEGINTIME;ENDTIME;BEGINTIME_P;ENDTIME_P;ENABLED;SHIFTDATE;HIDEINTALONS
72003;11;0.6875;0.833333;;;1;44371;0
72006;38;0.5;0.625;;;1;44368;0
72007;38;0.5;0.625;;;1;44375;0
72013;38;0.291667;0.625;;;1;44364;0
72014;38;0.291667;0.625;;;1;44369;0
72015;38;0.291667;0.625;;;1;44371;0
72016;38;0.291667;0.625;;;1;44376;0
72019;38;0.541667;0.625;;;1;44363;0
72020;38;0.541667;0.625;;;1;44370;0
72021;38;0.541667;0.625;;;1;44377;0
72026;38;0.333333;0.541667;;;1;44365;0
72027;38;0.333333;0.541667;;;1;44366;0
72028;38;0.333333;0.541667;;;1;44372;0
72029;38;0.333333;0.541667;;;1;44373;0
72034;245;0.333333;0.520833;;;1;44368;0
72035;245;0.333333;0.520833;;;1;44375;0
72039;245;0.333333;0.520833;;;1;44369;0
72040;245;0.333333;0.520833;;;1;44376;0
72047;245;0.333333;0.520833;;;1;44363;0
72048;245;0.333333;0.541667;;;1;44364;0
72049;245;0.333333;0.520833;;;1;44365;0
72050;245;0.333333;0.520833;;;1;44370;0
72051;245;0.333333;0.520833;;;1;44371;0
72052;245;0.333333;0.520833;;;1;44372;0
72053;245;0.333333;0.520833;;;1;44377;0
72057;245;0.333333;0.625;;;1;44366;0
72058;245;0.333333;0.625;;;1;44373;0
72061;245;0.333333;0.541667;;;1;44367;0
72062;245;0.333333;0.541667;;;1;44374;0
72074;457;0.666667;0.791667;;;1;44364;0
72075;457;0.666667;0.791667;;;1;44365;0
72076;457;0.666667;0.791667;;;1;44368;0
72077;457;0.666667;0.791667;;;1;44369;0
72078;457;0.666667;0.791667;;;1;44371;0
72079;457;0.666667;0.791667;;;1;44372;0
72080;457;0.666667;0.791667;;;1;44375;0
72081;457;0.666667;0.791667;;;1;44376;0
72086;311;0.708333;0.833333;;;1;44365;0
72087;311;0.708333;0.833333;;;1;44372;0
72094;51;0.375;0.666667;;;1;44364;0
72095;51;0.375;0.666667;;;1;44369;0
72096;51;0.375;0.666667;;;1;44371;0
72097;51;0.375;0.666667;;;1;44376;0
72104;51;0.625;0.75;;;1;44363;0
72105;51;0.625;0.75;;;1;44365;0
72106;51;0.625;0.75;;;1;44368;0
72107;51;0.625;0.75;;;1;44370;0
72108;51;0.625;0.75;;;1;44372;0
72109;51;0.625;0.75;;;1;44375;0
72110;51;0.625;0.75;;;1;44377;0
72119;486;0.583333;0.833333;;;0;44363;0
72120;486;0.583333;0.833333;;;1;44364;0
72121;486;0.583333;0.833333;;;1;44370;0
72122;486;0.583333;0.833333;;;1;44371;0
72123;486;0.583333;0.833333;;;1;44377;0
72127;300;0.333333;0.583333;;;1;44369;0
72128;300;0.333333;0.583333;;;1;44376;0
72131;505;0.6875;0.833333;;;1;44364;0
72132;505;0.6875;0.833333;;;1;44371;0
72140;487;0.333333;0.583333;;;1;44373;0
72143;487;0.333333;0.583333;;;1;44366;0
72151;506;0.4375;0.666667;;;1;44364;0
72152;506;0.4375;0.666667;;;0;44365;0
72153;506;0.4375;0.666667;;;1;44369;0
72154;506;0.4375;0.666667;;;1;44371;0
72155;506;0.4375;0.666667;;;0;44372;0
72156;506;0.4375;0.666667;;;1;44376;0
72159;506;0.375;0.604167;;;1;44366;0
72160;506;0.375;0.604167;;;1;44373;0
72163;506;0.4375;0.666667;;;1;44363;0
72164;506;0.4375;0.666667;;;1;44370;0
72165;506;0.4375;0.666667;;;1;44377;0
72168;424;0.375;0.458333;;;1;44364;0
72169;424;0.375;0.458333;;;0;44371;0
72172;424;0.625;0.708333;;;1;44369;0
72173;424;0.510417;0.59375;;;1;44372;0
72174;424;0.541667;0.625;;;1;44377;0
72184;432;0.416667;0.625;;;1;44365;0
72185;432;0.416667;0.625;;;1;44370;0
72186;432;0.416667;0.625;;;1;44372;0
